Gene name	Chromosome/scaffold name	Gene stable ID
DNAJC24	11	ENSG00000170946
	7	ENSG00000281593
RNU7-129P	18	ENSG00000251937
GABBR2	9	ENSG00000136928
PRELID3A	18	ENSG00000141391
SKAP2	7	ENSG00000005020
CTRB1	16	ENSG00000168925
	2	ENSG00000236760
RPS7	2	ENSG00000171863
	21	ENSG00000232884
OR10AF1P	11	ENSG00000255416
OR5D14	11	ENSG00000186113
	16	ENSG00000260848
OR4A21P	11	ENSG00000181943
	11	ENSG00000254487
	16	ENSG00000260706
TRIM51FP	11	ENSG00000219061
POLR2CP1	21	ENSG00000228600
GAPDHP16	21	ENSG00000225502
	21	ENSG00000235609
CCDC102A	16	ENSG00000135736
	14	ENSG00000258444
ZFHX2-AS1	14	ENSG00000157306
	21	ENSG00000291290
ASMER1	21	ENSG00000281903
LGR4	11	ENSG00000205213
	HSCHR19KIR_HG2396_CTG3_1	ENSG00000283833
	HSCHR19KIR_HG2396_CTG3_1	ENSG00000284318
	21	ENSG00000291291
	HSCHR19KIR_HG2396_CTG3_1	ENSG00000284555
RBMX2P1	21	ENSG00000226406
	21	ENSG00000235277
KIR2DL4	HSCHR19KIR_HG2396_CTG3_1	ENSG00000284013
DLEU7	13	ENSG00000186047
	14	ENSG00000273618
NRIP1	21	ENSG00000180530
THTPA	14	ENSG00000259431
KIR3DL1	HSCHR19KIR_HG2396_CTG3_1	ENSG00000284342
KIR2DS4	HSCHR19KIR_HG2396_CTG3_1	ENSG00000284244
LILRP2	HSCHR19KIR_HG2396_CTG3_1	ENSG00000283983
LILRP2	HSCHR19KIR_HG2396_CTG3_1	ENSG00000293130
DLEU2	13	ENSG00000231607
DPPA3P11	16	ENSG00000260332
ARLNC1	16	ENSG00000260896
KIR2DL2	HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000277251
	21	ENSG00000229047
	21	ENSG00000231201
KIR3DL1	HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000278427
	21	ENSG00000279390
KIR2DS2	HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000275253
LINC02920	21	ENSG00000236471
KIR3DL2	HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000275626
	21	ENSG00000288536
KIR2DL4	HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000278271
RCAN1	21	ENSG00000159200
KIR3DL3	HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000274254
	HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000274971
KIR2DS4	HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000275731
	HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000276512
LILRP2	HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000290505
AP1G2	14	ENSG00000213983
PTGER1	19	ENSG00000160951
	15	ENSG00000261554
LINC02349	15	ENSG00000259284
	18	ENSG00000267108
	18	ENSG00000267199
	18	ENSG00000267515
	15	ENSG00000287813
	18	ENSG00000267287
CRB3P1	3	ENSG00000232563
ILVBL-AS1	19	ENSG00000268564
NBPF21P	3	ENSG00000231382
OR7A11P	19	ENSG00000198367
	18	ENSG00000267409
CTDP1-DT	18	ENSG00000178412
	19	ENSG00000275432
	18	ENSG00000266901
DPP8	15	ENSG00000074603
	18	ENSG00000266924
	18	ENSG00000278075
	2	ENSG00000229405
SLC66A2	18	ENSG00000122490
MSGN1	2	ENSG00000151379
ILVBL	19	ENSG00000105135
MTARC2P1	3	ENSG00000232958
LINC01267	3	ENSG00000251576
OR4A1P	11	ENSG00000254408
LINC02735	11	ENSG00000255433
	11	ENSG00000275725
	11	ENSG00000254828
	7	ENSG00000236046
STK17A	7	ENSG00000164543
SUMF1	3	ENSG00000144455
	11	ENSG00000240881
OR4A7P	11	ENSG00000255349
OR4A6P	11	ENSG00000255078
OR4A18P	11	ENSG00000254637
SMC6	2	ENSG00000163029
	11	ENSG00000255001
TYRL	11	ENSG00000123447
	11	ENSG00000254800
	13	ENSG00000268486
	11	ENSG00000197254
	11	ENSG00000226268
	13	ENSG00000290438
LINC02707	11	ENSG00000255427
OR5D13	11	ENSG00000279761
	11	ENSG00000255543
TPTE2P6	13	ENSG00000205822
	17	ENSG00000264174
OR9Q1	11	ENSG00000186509
	13	ENSG00000290443
SUGT1P3	13	ENSG00000239827
OR4C16	11	ENSG00000279514
	16	ENSG00000259846
	11	ENSG00000288177
LINC01081	16	ENSG00000268754
SUGT1P3	13	ENSG00000290464
	11	ENSG00000254526
DDX10P2	9	ENSG00000230360
RPS19P6	9	ENSG00000234637
OR5B10P	11	ENSG00000255096
NFYCP2	9	ENSG00000224887
RNA5SP279	9	ENSG00000202383
	11	ENSG00000255499
RNU6-1073P	9	ENSG00000252991
MIR101-2	9	ENSG00000199065
	16	ENSG00000279120
OR4R3P	11	ENSG00000254624
RNU2-47P	9	ENSG00000222581
	16	ENSG00000261997
RN7SL98P	9	ENSG00000240613
OR5D17P	11	ENSG00000181837
RNU6-246P	9	ENSG00000207433
SCARNA8	9	ENSG00000251733
	16	ENSG00000234337
	13	ENSG00000290476
RNU6-264P	9	ENSG00000252943
Y_RNA	9	ENSG00000201118
RNU6-319P	9	ENSG00000251834
FOXC2	16	ENSG00000176692
	22	ENSG00000234208
MORF4L1P3	11	ENSG00000255040
RN7SL720P	9	ENSG00000241152
RNU6-14P	9	ENSG00000207360
KRT18P14	11	ENSG00000186082
NIPSNAP1	22	ENSG00000184117
RN7SKP120	9	ENSG00000222693
RN7SL849P	9	ENSG00000243115
	11	ENSG00000255214
ANKRD20A19P	13	ENSG00000196593
RMRPP5	9	ENSG00000223088
	11	ENSG00000255283
	16	ENSG00000259817
Y_RNA	9	ENSG00000272113
MIR4475	9	ENSG00000266255
	16	ENSG00000279591
MIR4540	9	ENSG00000264922
TRIM44	11	ENSG00000166326
MIR4476	9	ENSG00000265368
Y_RNA	9	ENSG00000200502
Y_RNA	9	ENSG00000206784
SLC25A5P5	7	ENSG00000226421
RNU6-677P	9	ENSG00000252723
RNA5SP530	9	ENSG00000277049
SNORA70	9	ENSG00000276094
	7	ENSG00000230000
Y_RNA	9	ENSG00000278028
RN7SL565P	9	ENSG00000276562
	13	ENSG00000285576
MIR4477A	9	ENSG00000276029
	13	ENSG00000290704
RN7SL343P	9	ENSG00000273717
RNA5SP283	9	ENSG00000202474
SPACA7BP	13	ENSG00000275989
RNU6-1293P	9	ENSG00000206804
BCAR1	16	ENSG00000050820
	13	ENSG00000290807
RNU2-5P	9	ENSG00000222465
RN7SL570P	9	ENSG00000241174
RNA5SP285	9	ENSG00000252428
	7	ENSG00000271696
RNF138P2	7	ENSG00000271194
	7	ENSG00000234686
Y_RNA	9	ENSG00000200922
RNA5SP286	9	ENSG00000212454
RN7SKP47	9	ENSG00000202217
LINC00431	13	ENSG00000225760
RNU6-445P	9	ENSG00000252758
	13	ENSG00000290808
	7	ENSG00000237026
Y_RNA	9	ENSG00000200041
LILRP2	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000293041
RN7SL422P	9	ENSG00000274852
TPTE2P3	13	ENSG00000244471
RN7SKP59	9	ENSG00000222452
LILRP1	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000273546
	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000276994
RNU6-1303P	9	ENSG00000201711
LILRP2	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000273922
AGMO	7	ENSG00000187546
	9	ENSG00000278040
MRPS31P4	13	ENSG00000250299
	9	ENSG00000274326
KIR3DL3	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000276086
	9	ENSG00000277320
RN7SKP242	9	ENSG00000251776
KIR2DS2	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000275735
RNU4-15P	9	ENSG00000199483
	11	ENSG00000255500
	13	ENSG00000289133
	9	ENSG00000212421
	13	ENSG00000290911
KIR2DL2	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000278692
RNU2-36P	9	ENSG00000222293
RNU4-29P	9	ENSG00000251752
RN7SKP264	9	ENSG00000223012
OSBP	11	ENSG00000110048
	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000278277
RNU6-1228P	9	ENSG00000212316
KIR2DL4	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000273498
ACACA	17	ENSG00000278540
MIR4290	9	ENSG00000263967
MIR3910-1	9	ENSG00000266855
MIR3910-2	9	ENSG00000283351
MIR4291	9	ENSG00000265347
	18	ENSG00000287879
MIR4289	9	ENSG00000265873
Y_RNA	9	ENSG00000201830
RN7SKP87	9	ENSG00000200966
	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000275608
OR7E156P	13	ENSG00000274052
DSC2	18	ENSG00000134755
RNU6-996P	9	ENSG00000202308
	13	ENSG00000290963
RNU6-329P	9	ENSG00000238882
RNU6-492P	9	ENSG00000199905
KIR2DL5A	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000275596
OR7E104P	13	ENSG00000219926
RNA5SP291	9	ENSG00000253031
RN7SL659P	9	ENSG00000244104
KIR2DS1	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000273603
	13	ENSG00000290964
RNU6-1064P	9	ENSG00000222558
MIR7702	9	ENSG00000274263
RNU6-855P	9	ENSG00000222327
KIR3DL2	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000275511
Y_RNA	9	ENSG00000200261
RNA5SP293	9	ENSG00000222459
	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000275782
MIR3927	9	ENSG00000263861
KIR2DS5	HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	ENSG00000275047
RNU6-432P	9	ENSG00000206923
RNY4P18	9	ENSG00000212409
MRPS31P5	13	ENSG00000243406
Y_RNA	9	ENSG00000207401
U2	9	ENSG00000274755
RNA5SP294	9	ENSG00000223238
RN7SL57P	9	ENSG00000242256
BACH1-IT1	21	ENSG00000248476
RNA5SP295	9	ENSG00000199525
TPTE2P1	13	ENSG00000253771
RN7SL430P	9	ENSG00000243911
MIR147A	9	ENSG00000207814
	13	ENSG00000291041
RNU6-710P	9	ENSG00000222356
	21	ENSG00000273017
RNU4-82P	9	ENSG00000199313
BACH1-AS1	21	ENSG00000232118
RN7SL302P	9	ENSG00000241246
MIR455	9	ENSG00000207726
MIR181A2	9	ENSG00000207595
MIR181B2	9	ENSG00000207737
BACH1-IT2	21	ENSG00000228817
NRON	9	ENSG00000253079
RPEP4	22	ENSG00000233010
	HSCHR19KIR_HG2394_CTG3_1	ENSG00000283748
FAM183BP	7	ENSG00000164556
KIR3DL3	HSCHR19KIR_HG2394_CTG3_1	ENSG00000284480
CABP7-DT	22	ENSG00000232396
SNORD116	9	ENSG00000252985
LINC01556	6	ENSG00000204709
RN7SL30P	9	ENSG00000243845
LINC02865	6	ENSG00000229922
	HSCHR19KIR_HG2394_CTG3_1	ENSG00000283901
BACH1-IT3	21	ENSG00000234293
MIR4669	9	ENSG00000263897
KIR2DL3	HSCHR19KIR_HG2394_CTG3_1	ENSG00000284236
MIR602	9	ENSG00000207693
RNU6-785P	9	ENSG00000223256
VTA1	6	ENSG00000009844
CABP7	22	ENSG00000100314
KIR2DP1	HSCHR19KIR_HG2394_CTG3_1	ENSG00000284232
	9	ENSG00000271833
GRIK1	21	ENSG00000171189
SLC25A1P2	7	ENSG00000234467
KIR2DL1	HSCHR19KIR_HG2394_CTG3_1	ENSG00000284551
	7	ENSG00000249773
KIR3DP1	HSCHR19KIR_HG2394_CTG3_1	ENSG00000284006
	7	ENSG00000225718
KIR2DL4	HSCHR19KIR_HG2394_CTG3_1	ENSG00000284206
MIPEPP3	13	ENSG00000233325
	13	ENSG00000291046
SLC2A8	9	ENSG00000136856
LINC02144	5	ENSG00000248708
LINC01948	5	ENSG00000248727
KIR3DL1	HSCHR19KIR_HG2394_CTG3_1	ENSG00000284589
ZMAT5	22	ENSG00000100319
RPL7P31	7	ENSG00000235379
SPTLC1P5	13	ENSG00000227922
	13	ENSG00000285746
KIR2DS4	HSCHR19KIR_HG2394_CTG3_1	ENSG00000284264
ZNF804B	7	ENSG00000182348
MIR3665	13	ENSG00000266325
EDNRB-AS1	13	ENSG00000225579
LILRP2	HSCHR19KIR_HG2394_CTG3_1	ENSG00000284314
LILRP2	HSCHR19KIR_HG2394_CTG3_1	ENSG00000293127
MSH3	5	ENSG00000113318
EDNRB	13	ENSG00000136160
	7	ENSG00000236907
OR10W1	11	ENSG00000172772
Y_RNA	22	ENSG00000200976
	7	ENSG00000223559
	22	ENSG00000287967
UQCR10	22	ENSG00000184076
OR10AK1P	11	ENSG00000254807
MTATP6P21	7	ENSG00000226392
MTCO1P57	7	ENSG00000232975
OR5B17	11	ENSG00000197786
	11	ENSG00000286983
CYP4F8	19	ENSG00000186526
	11	ENSG00000286382
POU6F2-AS2	7	ENSG00000233854
	11	ENSG00000280288
FADS2B	11	ENSG00000274150
RPF2P2	4	ENSG00000250693
	6	ENSG00000216913
	7	ENSG00000234085
	7	ENSG00000235243
	6	ENSG00000271111
	7	ENSG00000236638
	7	ENSG00000229403
FCF1P10	6	ENSG00000218490
	11	ENSG00000255489
CASTOR1	22	ENSG00000239282
	7	ENSG00000233420
	11	ENSG00000255357
NT5DC1	6	ENSG00000178425
OR4A5	11	ENSG00000221840
ZNF727	7	ENSG00000214652
	11	ENSG00000255375
LINC00972	7	ENSG00000225128
	11	ENSG00000254926
	11	ENSG00000254919
KPNA2P2	7	ENSG00000228928
	11	ENSG00000255279
SEPTIN14P1	7	ENSG00000231523
NAV2-AS1	11	ENSG00000254894
RPL12P31	11	ENSG00000241228
CNN2P6	3	ENSG00000213854
PRR5L	11	ENSG00000135362
SEMA3A	7	ENSG00000075213
RBMS3	3	ENSG00000144642
	6	ENSG00000261038
RPL32P15	6	ENSG00000213461
RPL21P66	6	ENSG00000225343
	6	ENSG00000219404
ADGRF1	6	ENSG00000153292
SEC31A	4	ENSG00000138674
LILRP1	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000277921
KIR2DL3	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000277554
KIR2DL4	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000278074
KIR3DL3	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000276328
KIR3DP1	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000274163
KIR2DS4	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000274406
KIR2DL1	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000275276
	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000274009
KIR2DP1	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000274942
OR7A3P	19	ENSG00000269787
KIR3DL1	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000273518
	12	ENSG00000245482
KIR3DL2	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000275262
	19	ENSG00000267056
TDGP1	12	ENSG00000255725
PGLYRP2	19	ENSG00000161031
RNU6-222P	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000277153
ALG10B	12	ENSG00000175548
LILRP2	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000274842
LILRP2	HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000293046
	21	ENSG00000273464
GRIK1-AS1	21	ENSG00000174680
	22	ENSG00000248751
	13	ENSG00000233379
SYCE1L	16	ENSG00000205078
RN7SL810P	13	ENSG00000243035
LINC01069	13	ENSG00000236133
KIR2DL3	HSCHR19KIR_LUCE_A_HAP_CTG3_1	ENSG00000276459
KIR2DL1	HSCHR19KIR_LUCE_A_HAP_CTG3_1	ENSG00000278248
	21	ENSG00000279998
KIR3DL2	HSCHR19KIR_LUCE_A_HAP_CTG3_1	ENSG00000276357
hsa-mir-8069-1	21	ENSG00000284550
	21	ENSG00000280172
	21	ENSG00000279751
KIR3DL3	HSCHR19KIR_LUCE_A_HAP_CTG3_1	ENSG00000274639
	21	ENSG00000274276
	HSCHR19KIR_LUCE_A_HAP_CTG3_1	ENSG00000275245
KIR2DS4	HSCHR19KIR_LUCE_A_HAP_CTG3_1	ENSG00000276154
SLAIN1	13	ENSG00000139737
	HSCHR19KIR_LUCE_A_HAP_CTG3_1	ENSG00000275225
	12	ENSG00000256986
KIR3DL1	HSCHR19KIR_LUCE_A_HAP_CTG3_1	ENSG00000278856
COMMD9	11	ENSG00000110442
	12	ENSG00000280054
LINC02450	12	ENSG00000257114
SEPTIN14P24	7	ENSG00000231299
	7	ENSG00000235450
KIR2DL4	HSCHR19KIR_LUCE_A_HAP_CTG3_1	ENSG00000275456
	21	ENSG00000275895
ZNF90P3	7	ENSG00000233782
	HSCHR19KIR_LUCE_A_HAP_CTG3_1	ENSG00000278411
	21	ENSG00000276076
TRIM60P17	7	ENSG00000223558
	16	ENSG00000286841
	21	ENSG00000274559
	16	ENSG00000277214
VKORC1L1	7	ENSG00000196715
ZNF627	19	ENSG00000198551
	21	ENSG00000280013
	16	ENSG00000260750
THEMIS3P	18	ENSG00000229442
	21	ENSG00000280191
	16	ENSG00000283423
	12	ENSG00000284682
AKR1B1P6	18	ENSG00000225212
	12	ENSG00000256226
RAB12	18	ENSG00000206418
	21	ENSG00000280179
	12	ENSG00000256774
EIPR1-IT1	2	ENSG00000224885
	21	ENSG00000275993
LINC01115	2	ENSG00000237667
GSE1	16	ENSG00000131149
	21	ENSG00000273590
	21	ENSG00000277277
SLC38A2	12	ENSG00000134294
	21	ENSG00000278961
	21	ENSG00000276289
	18	ENSG00000266708
APP	21	ENSG00000142192
FECH	18	ENSG00000066926
	7	ENSG00000238124
	7	ENSG00000233918
	7	ENSG00000285670
	7	ENSG00000278959
TBC1D10A	22	ENSG00000099992
	2	ENSG00000286851
	7	ENSG00000228711
	2	ENSG00000286857
COX6A1P7	7	ENSG00000227979
HS1BP3-IT1	2	ENSG00000231948
	7	ENSG00000227545
LRATD1	2	ENSG00000162981
ZNF333	19	ENSG00000160961
	7	ENSG00000229064
BLVRA	7	ENSG00000106605
LINC02750	11	ENSG00000254518
	11	ENSG00000285283
	11	ENSG00000285895
ZFP91	11	ENSG00000186660
	2	ENSG00000232451
	2	ENSG00000229740
	2	ENSG00000227718
ASAP2	2	ENSG00000151693
TRMT11	6	ENSG00000066651
BSNDP4	7	ENSG00000229627
OR4A8	11	ENSG00000225997
NUPR2	7	ENSG00000185290
	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000276970
	11	ENSG00000255333
KIR3DL1	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000277272
CIR1P3	11	ENSG00000216708
KIR3DP1	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000276035
ARF1P1	7	ENSG00000219807
LILRP1	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000276001
	11	ENSG00000240975
KIR2DL4	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000277964
	11	ENSG00000271369
KIR2DL3	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000276590
KIR2DL1	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000275750
KIR3DL2	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000278442
GLYAT	11	ENSG00000149124
	7	ENSG00000225537
	7	ENSG00000234500
KIR3DL3	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000274786
KIR2DS4	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000274947
	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000274082
	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000275168
LILRP2	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000276243
LILRP2	HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000293059
	21	ENSG00000233783
NCAPD2P1	7	ENSG00000230356
RNU6-123P	21	ENSG00000251972
	7	ENSG00000244055
	21	ENSG00000224541
RNU6-926P	21	ENSG00000206802
	7	ENSG00000250618
KRTAP10-12	21	ENSG00000189169
EIF4A1P13	7	ENSG00000225701
	21	ENSG00000289144
	7	ENSG00000227785
LINC01424	21	ENSG00000236519
	7	ENSG00000233960
	21	ENSG00000289009
GATAD1	7	ENSG00000157259
LTN1	21	ENSG00000198862
LILRP2	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000293039
LILRP1	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000274271
LILRP2	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000277267
KIR3DL3	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000276433
KIR2DS2	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000278152
KIR2DL2	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000273661
	11	ENSG00000255309
KIR3DP1	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000276518
	11	ENSG00000255368
KIR2DL4	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000274193
MMADHCP2	11	ENSG00000254708
EEF1A1P47	11	ENSG00000255450
	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000276534
PCNAP4	11	ENSG00000254544
KIR2DL5A	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000274676
KLF2-DT	19	ENSG00000267275
	15	ENSG00000275016
TRIM48	11	ENSG00000150244
KIR2DS5	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000277650
KIR2DS1	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000273517
	19	ENSG00000268673
KIR3DL2	HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000273735
CIB3	19	ENSG00000141977
DDX43P2	7	ENSG00000270763
	15	ENSG00000287108
VOPP1	7	ENSG00000154978
HMGB1P51	15	ENSG00000270986
EID1	15	ENSG00000255302
CCDC179	11	ENSG00000255359
	15	ENSG00000273512
OR10V3P	11	ENSG00000254743
	11	ENSG00000254669
ADAMTSL3	15	ENSG00000156218
KCNK17	6	ENSG00000124780
TOMM22P3	13	ENSG00000227604
KL	13	ENSG00000133116
PRMT3	11	ENSG00000185238
ZNF79	9	ENSG00000196152
DSG1-AS1	18	ENSG00000266729
RAB5CP2	5	ENSG00000251356
SPZ1	5	ENSG00000164299
STARD13	13	ENSG00000133121
CABLES1	18	ENSG00000134508
OCEL1	19	ENSG00000099330
	5	ENSG00000288349
DNAJC5B	8	ENSG00000147570
	5	ENSG00000250145
	5	ENSG00000248870
	5	ENSG00000250984
CDK8P1	2	ENSG00000230044
	2	ENSG00000231204
CD180	5	ENSG00000134061
RPL12	9	ENSG00000197958
Y_RNA	X	ENSG00000206792
Y_RNA	X	ENSG00000206795
FRMPD4-AS1	X	ENSG00000223487
PIK3CDP1	2	ENSG00000231610
RPL17P49	X	ENSG00000231211
	2	ENSG00000287881
	X	ENSG00000273800
RPL7P24	5	ENSG00000240003
RN7SKP290	X	ENSG00000271814
WDR35-DT	2	ENSG00000227210
PSMA6P2	X	ENSG00000229083
MRPL35P4	X	ENSG00000230691
TLR7	X	ENSG00000196664
	5	ENSG00000249101
	2	ENSG00000242282
IL7R	5	ENSG00000168685
	6	ENSG00000233558
RPS27AP11	6	ENSG00000218208
	6	ENSG00000262566
	2	ENSG00000229370
TLR8-AS1	X	ENSG00000233338
LINC02880	6	ENSG00000175967
NTSR2	2	ENSG00000169006
	X	ENSG00000250084
	X	ENSG00000278358
	X	ENSG00000278160
RBM22P6	X	ENSG00000275643
AP1G2-AS1	14	ENSG00000258727
XAGE1A	X	ENSG00000204379
SF3A1	22	ENSG00000099995
SRGAP3-AS1	3	ENSG00000224808
	3	ENSG00000287069
	14	ENSG00000274002
	14	ENSG00000258464
SLC22A13	3	ENSG00000172940
TRPS1-AS1	8	ENSG00000227170
	8	ENSG00000254802
LINC00954	2	ENSG00000228784
BTF3P1	8	ENSG00000254225
HBS1L	6	ENSG00000112339
BRD7P1	14	ENSG00000259043
	14	ENSG00000270618
RN7SKP205	14	ENSG00000222931
	14	ENSG00000258887
PTDSS1	8	ENSG00000156471
	14	ENSG00000285727
LINC00596	14	ENSG00000259334
DHRS4	14	ENSG00000157326
MARK2P14	3	ENSG00000231897
	3	ENSG00000272121
RPS12P5	3	ENSG00000226216
	3	ENSG00000268279
RBM22P7	X	ENSG00000223395
	X	ENSG00000277289
	X	ENSG00000227058
AK6P2	12	ENSG00000257173
	X	ENSG00000231593
	X	ENSG00000228771
LRRN1	3	ENSG00000175928
LINC01227	16	ENSG00000260737
SSX14P	X	ENSG00000185319
	12	ENSG00000258763
	2	ENSG00000234378
	2	ENSG00000271315
	2	ENSG00000242136
SSX11P	X	ENSG00000197185
KIR2DS4	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000274324
DDX11L17	1	ENSG00000279928
	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000274130
	1	ENSG00000228037
	12	ENSG00000273853
KIR2DL2	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000278731
RPS25P3	2	ENSG00000233416
	X	ENSG00000234792
CISTR	12	ENSG00000260492
SSX7	X	ENSG00000187754
KIR3DL3	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000277620
KIR2DL1	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000277616
	2	ENSG00000224604
KIR3DL1	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000276501
	12	ENSG00000255628
LILRP1	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000275112
	2	ENSG00000223530
KIR2DS2	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000274518
LACRT	12	ENSG00000135413
RPL23AP38	3	ENSG00000184423
PRDM16	1	ENSG00000142611
	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000276013
KIR2DL4	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000274945
RHBDF1P1	3	ENSG00000234123
	16	ENSG00000261243
	X	ENSG00000228354
RNA5SP504	X	ENSG00000222608
	7	ENSG00000237160
SLC17A6-DT	11	ENSG00000254768
	16	ENSG00000279142
SSX15P	X	ENSG00000225508
	16	ENSG00000260795
S100A11P10	X	ENSG00000237275
	X	ENSG00000223958
KIR2DS5	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000274243
VENTXP4	3	ENSG00000230465
HADHA	2	ENSG00000084754
SLC66A2P1	7	ENSG00000231763
	X	ENSG00000225397
	X	ENSG00000229826
RPS24P8	3	ENSG00000224094
	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000278414
S100A11P8	X	ENSG00000269281
H3P11	3	ENSG00000230111
	11	ENSG00000271350
MON1B	16	ENSG00000103111
SSX21P	X	ENSG00000226867
LILRP2	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000276247
OR5W1P	11	ENSG00000227806
SPANXN5	X	ENSG00000204363
BET1	7	ENSG00000105829
KCNH8	3	ENSG00000183960
SNORA65	9	ENSG00000201302
LILRP2	HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000293006
Y_RNA	9	ENSG00000200788
OR10Q2P	11	ENSG00000272900
OR5I1	11	ENSG00000167825
NIBAN2	9	ENSG00000136830
	X	ENSG00000229885
	X	ENSG00000196395
EIF4A2P4	X	ENSG00000224781
	19	ENSG00000287961
OR5W2	11	ENSG00000187612
